vernacularnamecategory,depthrange,total
gorgonian coral,[700-1300],7145
demosponge,[700-1300],1085
glass sponge,[700-1300],1705
glass sponge,[5500-6100],12
demosponge,[5500-6100],7
glass sponge,[4900-5500],138
gorgonian coral,[4900-5500],30
demosponge,[4900-5500],14
glass sponge,[4300-4900],131
demosponge,[4300-4900],19
gorgonian coral,[4300-4900],10
gorgonian coral,[3700-4300],277
glass sponge,[3700-4300],203
demosponge,[3700-4300],20
demosponge,[3100-3700],24
glass sponge,[3100-3700],163
gorgonian coral,[3100-3700],249
gorgonian coral,[2500-3100],2002
glass sponge,[2500-3100],807
demosponge,[2500-3100],219
gorgonian coral,[1900-2500],20173
demosponge,[1900-2500],595
glass sponge,[1900-2500],5247
glass sponge,[1300-1900],2477
gorgonian coral,[1300-1900],9441
demosponge,[1300-1900],537
demosponge,[0-700],10277
glass sponge,[0-700],1067
gorgonian coral,[0-700],13728
